size,bubblesort,shellsort,quicksort,mergesort
100,9.12e-05,1.531e-05,1.22e-05,3.409e-05
200,0.000390155,3.609e-05,2.8885e-05,7.9805e-05
400,0.00148642,8.9595e-05,6.637e-05,0.000161755
600,0.0033211,0.000131505,0.00010688,0.00025249
800,0.0058592,0.000198275,0.00014192,0.000318715
1000,0.00918556,0.00023164,0.00019129,0.00043021
1200,0.0131692,0.00031224,0.000239485,0.00052832
1400,0.0178823,0.00035008,0.00029611,0.00059289
1600,0.0232241,0.00044813,0.00034941,0.00069588
1800,0.0333458,0.000591975,0.00046135,0.000891585
2000,0.0380026,0.000548585,0.000476865,0.000839825
2500,0.0575687,0.000719075,0.000628855,0.0010642
3000,0.0817483,0.00081514,0.000812515,0.00126861
3500,0.11038,0.00097177,0.00101688,0.00157731
4000,0.14477,0.00117584,0.00126823,0.00174113
4500,0.182702,0.00142649,0.00148796,0.0019626
5000,0.225131,0.00158715,0.00177669,0.00221914
6000,0.325724,0.00185674,0.00235474,0.00279708
7000,0.441964,0.00215241,0.00305157,0.00314202
8000,0.577594,0.00264611,0.00374639,0.00361738
9000,0.729109,0.00298621,0.00453613,0.0040793
10000,0.903867,0.00337747,0.00550367,0.00452456
12000,1.29539,0.00401615,0.00749704,0.00561214
14000,1.768,0.00473672,0.00982185,0.00653734
16000,2.30672,0.0061114,0.0125644,0.00739542
18000,2.91917,0.00655753,0.0156158,0.00841575
20000,3.63988,0.00761726,0.0191108,0.00947567
25000,5.72742,0.00913108,0.0293658,0.0121102
30000,8.05836,0.0109955,0.0399774,0.0141684
35000,10.8611,0.0131553,0.0526088,0.0165266
